FALSE,Assigned,Customer,,FORMULA, Current , 1 - 30 , 31 - 60 , 61 - 90 , > 90 , TOTAL ,Account Status,Collection Status,PHASE,COMMUNICATION SCHEDULE,Note/Contact Date,Collections Team - Notes,Upcoming Payment ,Action Item / Follow-up Items,Mgt. Note Date,Local Management Notes,Days since contact,As Of Date,CPR Status,# Of Jobs In Progress,"# Of Jobs Completed, Pending Payment",CPR Notes,Company
TRUE,Sylvia,Orange County,HP COMMUNICATION (SOUTHERN CALIFORNIA),, HP COMMUNICATION (SOUTHERN CALIFORNIA) ," $ 58,521.00 "," $ 10,423.91 ", $ -   ," $ 31,887.50 "," $ 13,260.25 "," $ 114,092.66 ",Active,Contacted,COLLECTION TEAM,PORTAL,46132,sent open balace report,,,,31,,,,,,STS
,Josie,Bakersfield,MASTEC - ATT (BAKERSFIELD),, MASTEC - ATT (BAKERSFIELD) ," $ 59,740.00 ", $ (750.35), $ -   ," $ 59,740.00 "," $ (6,239.04)"," $ 112,490.61 ",Active,Contacted,DO NOT CONTACT!,PORTAL,46113,jordan working on it ,,,,50,,,,,,STS
,Elizabeth,Bakersfield,LENNAR HOMES,, LENNAR HOMES , $ -   , $ -   ," $ 6,450.00 ", $ -   ," $ (11,766.80)"," $ (5,316.80)",Active,Contacted,COLLECTION TEAM,PORTAL,46112,sent payment request update tbd,,,,51,,,,,,STS
TRUE,Sylvia,Fresno / Visalia,"Yarbs Grading and Paving, Inc.",," Yarbs Grading and Paving, Inc. "," $ 39,660.00 "," $ 51,310.00 ", $ -   , $ -   , $ -   ," $ 90,970.00 ",Active,Contacted,VP/HIGH LEVEL,WEEKLY,46076,laurie made a payment. sent new open balance.,,,,87,1/27/2025,"Completed, Pending Payment",,1,62885 Ready for Payment,INC
,Victoria,Fresno / Bakersfield / Visalia / Modesto,"SECURITY PAVING COMPANY, INC",," SECURITY PAVING COMPANY, INC "," $ 29,025.73 ", $ -   ," $ 42,128.00 ", $ -   ," $ 8,661.41 "," $ 79,815.14 ",ON HOLD,Roadblock,VP/HIGH LEVEL,WEEKLY,46125,requested update on payment ,,,,38,1/27/2025,Not Started,1,3,"62979 Waiting for CPR &
 62167 , 62695,62131 Waiting for payment",INC
TRUE,Sylvia,Sacramento,2M GENERAL ENGINEERING INC.,, 2M GENERAL ENGINEERING INC. , $ -   , $ -   ," $ 3,144.00 "," $ 30,571.00 "," $ 18,585.00 "," $ 52,300.00 ",Active,Contacted,VP/HIGH LEVEL,WEEKLY,46092,called & left a voicemail for the ap department,,,,71,,,,,,INC
,Victoria,Bakersfield,Griffith Company,, Griffith Company , $ -   , $ -   ," $ 22,287.50 ", $ -   ," $ 13,423.11 "," $ 35,710.61 ",Active,Union Letter,VP/HIGH LEVEL,WEEKLY,46125,ashley responded with update. trying to get joint checks.,,,CPR 10/02/2024,38,1/27/2025,"Completed, Pending Payment",1,2,62990 waiting for CPR. 61709 & 62807 Waiting for payment,INC
TRUE,Sylvia,Fresno,AGEE CONSTRUCTION,, AGEE CONSTRUCTION , $ -   ," $ 33,985.00 ", $ -   , $ -   , $ (645.00)," $ 33,340.00 ",Active,Contacted,COLLECTION TEAM,WEEKLY,,,,,,DATE NEEDED,1/28/2025,In Progress,2,,62734 waiting on LCP. 62920 Pending CPR ,INC
,Victoria,Bakersfield / Visalia,"Herman Weissker, Inc",," Herman Weissker, Inc "," $ 14,896.50 "," $ 10,279.20 "," $ 8,549.58 "," $ 5,961.10 "," $ (7,122.04)"," $ 32,564.34 ",Active,Contacted,COLLECTION TEAM,WEEKLY,46120,requested update on payment,,,,43,,,,,,INC
TRUE,Sylvia,Fresno,"Bill Nelson GEC, Inc",," Bill Nelson GEC, Inc "," $ 18,110.00 "," $ 8,827.84 ", $ -   , $ -   , $ -   ," $ 26,937.84 ",Active,Contacted,COLLECTION TEAM,WEEKLY,46115,"Krintin email, ",,,,48,,,,,,INC
,Lui,Bakersfield / Fresno / AG ,W. M. LYLES CO.,, W. M. LYLES CO. ," $ 2,073.20 ", $ 682.20 , $ -   , $ -   ," $ 23,251.15 "," $ 26,006.55 ",Active,Union Letter,BRANCH MANAGER,WEEKLY,46086,requested update on payment,,12/11/24,"spoke w/Karen she advised that they are waiting on certified payroll information from us to process payment for these outstanding open invoices. Job 62766 $12,381.54, Job 62518 $9,959.68, Job 62830 $4,067.64 Inv's 163150, 163164, 163311, 163247, 163257, 163259, 163285, 163455, 163526 (Visalia)",77,1/28/2025,"Completed, Pending Payment",,1,63073 ONGOING. Ready for payment on what has been compelted,INC
,Josie,Fresno,Sturgeon Electric California LLC,, Sturgeon Electric California LLC ," $ 11,979.51 "," $ 6,318.00 "," $ 3,820.00 ", $ 892.11 ," $ 1,123.64 "," $ 24,133.26 ",Active,Contacted,COLLECTION TEAM,WEEKLY,46157,"Said a Check was sent out for invoice 00165707 in the amount of $3,820.00 check # 788839",,,,6,,,,,,INC
TRUE,Sylvia,Fresno,BMY,, BMY ," $ 12,010.42 "," $ 2,336.20 "," $ 3,917.20 ", $ -   , $ -   ," $ 18,263.82 ",Active,Contacted,COLLECTION TEAM,WEEKLY,46128,"Alli email, asking for Benefit statement, Union Letter, DAS 140 & 142; Allyson working on it.",,,,35,,,,,,INC
,Josie,Fresno ,SW CONSTRUCTION,, SW CONSTRUCTION ," $ 10,525.68 "," $ 5,139.88 ", $ -   , $ -   , $ -   ," $ 15,665.56 ",Active,Contacted,COLLECTION TEAM,WEEKLY,46157,Said no funds they are barley making payroll ,Took 2% discount ,,,6,,,,,,INC
TRUE,Sylvia,Modesto,MIDLAND,, MIDLAND , $ -   , $ -   , $ -   , $ -   ," $ 14,421.80 "," $ 14,421.80 ",Active,Roadblock,VP/HIGH LEVEL,WEEKLY,46062,"following up with Ranee, regarding payment information on the March-22 invoice, waiting for a response",don to contact customer. 6-17-25,,,101,,,,,,INC
TRUE,Sylvia,,"JUAREZ BROTHERS GENERAL ENGINEERING, INC.",," JUAREZ BROTHERS GENERAL ENGINEERING, INC. "," $ 6,320.00 "," $ 1,785.00 ", $ -   , $ -   , $ -   ," $ 8,105.00 ",Active,Contacted,COLLECTION TEAM,WEEKLY,45933,"A/P not answering, left message",,,,230,,,,,,INC
,Lui,not on tcr inc!!!!!,LEE CONTRACTORS AND CONSULTANTS (CASH),, LEE CONTRACTORS AND CONSULTANTS (CASH) , $ -   , $ -   , $ -   , $ -   ," $ 7,584.20 "," $ 7,584.20 ",ON HOLD,Uncollectable,VP/HIGH LEVEL,WEEKLY,46076,email is not good or phone #,**lui recomend for collections *** trent called jd last week. info to be sent over. ,8/15/24,Reached out to JB trying to get another payment ,87,,,,,,INC
FALSE,Sylvia,Fresno ,HBC ENTERPRISES,, HBC ENTERPRISES , $ 549.44 , $ 545.84 , $ -   ," $ 4,894.40 ", $ -   ," $ 5,989.68 ",Active,Union Letter,VP/HIGH LEVEL,WEEKLY,46125,"$1,406.08 with Credit Card today for some open invoices, leaving one from 2025 that she still going over. so hope another payment next week.",hammer to get info for boss. rob harris 559-575-3000,,,38,1/28/2025,Not Started,1,,63035 Pending CPR,INC
,Lui,Bakersfield,Granite Construction (Bakersfield),, Granite Construction (Bakersfield) , $ -   , $ 724.50 , $ -   , $ -   ," $ 4,487.25 "," $ 5,211.75 ",Active,Union Letter,COLLECTION TEAM,WEEKLY,46076,sent open balance & requested payment update,,,,87,1/27/2025,"Completed, Pending Payment",,2,"62918 , 63047 , Ready for Payment ",INC
TRUE,Sylvia,Fresno,MAC General Engineering,, MAC General Engineering , $ -   , $ -   ," $ 3,247.28 ", $ -   ," $ 1,575.00 "," $ 4,822.28 ",Active,Contacted,COLLECTION TEAM,WEEKLY,46107,"Trent email Angela, asking for payment information on the Nov-29 invoice",,,,56,,,,,,INC
TRUE,Sylvia,Fresno,"WALSH MONTGOMERY CONSTRUCTION, INC.",," WALSH MONTGOMERY CONSTRUCTION, INC. "," $ 2,400.00 "," $ 2,400.00 ", $ -   , $ -   , $ -   ," $ 4,800.00 ",Active,Contacted,COLLECTION TEAM,WEEKLY,46062,"emailed Accounting, balance report also to make sure those January invoices were received,",,,,101,,,,,,INC
FALSE,Sylvia,,SE Pipeline Construction,, SE Pipeline Construction , $ -   ," $ 4,612.50 ", $ -   , $ -   , $ -   ," $ 4,612.50 ",Active,Contacted,COLLECTION TEAM,WEEKLY,46052,"$4,856.80n Ck-550286 on today's mail as promised, per Rosa",,,,111,,,,,,INC
TRUE,Sylvia,Fresno,"R J Berry, Inc.",," R J Berry, Inc. ", $ -   ," $ 3,010.00 ", $ -   , $ -   , $ 450.00 ," $ 3,460.00 ",Active,Contacted,COLLECTION TEAM,WEEKLY,46126,"left message for Michael, regarding payment update on January invoices",,,,37,,,,,,INC
TRUE,Sylvia,Fresno,DG CONSTRUCTION INC,, DG CONSTRUCTION INC , $ -   , $ -   , $ -   , $ -   ," $ 3,359.36 "," $ 3,359.36 ",Active,Roadblock,BRANCH MANAGER,WEEKLY,46105,"John replied to email, waiting on payment from project owner, also asking if no more open invoices, getting with Hammer/Hector",,,,58,1/27/2025,"Completed, Pending Payment",,2,62595 & 62730 Waiting for payment ,INC
TRUE,Sylvia,Modesto,"TNT INDUSTRIAL CONTRACTORS, INC.",," TNT INDUSTRIAL CONTRACTORS, INC. "," $ 2,480.00 ", $ 201.60 , $ -   , $ -   , $ -   ," $ 2,681.60 ",Active,Contacted,COLLECTION TEAM,WEEKLY,46107,"Maria mentioned those invoices are still waiting, follow up next week. ",,,,56,1/28/2025,In Progress,1,,63053 one week to certify. Waiting on hours ,INC
TRUE,Sylvia,Fresno,Todd Companies,, Todd Companies , $ -   , $ -   , $ 450.00 , $ -   ," $ 1,480.00 "," $ 1,930.00 ",Active,Contacted,COLLECTION TEAM,WEEKLY,46126,"another message to Melissa regarding tha Sept-26 Invoices, Hector call as well.",,,,37,,,,,,INC
FALSE,Sylvia,Fresno,AMERICAN PAVING,, AMERICAN PAVING , $ 570.00 , $ -   , $ -   ," $ (1,669.61)"," $ 2,963.81 "," $ 1,864.20 ",Active,Union Letter,VP/HIGH LEVEL,WEEKLY,46058,"spoke with Tarah, regarding Ck-6212 for $1,720.00, if check was deposit, talk to Vicotoria she will do a research on that check",,,,105,1/28/2025,"Completed, Pending Payment",1,1,62260 Ready for payment. 62724 Pending CPR,INC
,Josie,  Fresno /Bakersfield ,"SUPERIOR AG CONSTRUCTION, LLC",," SUPERIOR AG CONSTRUCTION, LLC "," $ 1,050.00 ", $ 525.00 , $ -   , $ -   , $ -   ," $ 1,575.00 ",Active,Contacted,COLLECTION TEAM,WEEKLY,46160,Called no answe or voice mail checking on status of invoice 00165779,,,,3,,,,,,INC
,Josie,Fresno ,Don Pickett & Associates,, Don Pickett & Associates ," $ 1,534.00 ", $ -   , $ -   , $ -   , $ -   ," $ 1,534.00 ",Active,Contacted,COLLECTION TEAM,WEEKLY,46160,Said she sent out a payment last week said  she did recevie my status report ,,,,3,,,,,,INC
,Josie,Bakersfield Fresno,BSK,, BSK , $ -   , $ -   , $ -   ," $ 1,260.00 ", $ -   ," $ 1,260.00 ",Active,Union Letter,VP/HIGH LEVEL,WEEKLY,46160,Called to see if Erika recevied a response on cpr no answer ,,,,3,,,,,,INC
,Josie,Bakersfield,"KEMP BROS. CONSTRUCTION, INC.",,#REF!,, $ 950.00 ,,,, $ 950.00 ,Active,Contacted,COLLECTION TEAM,WEEKLY,46160,emailed  asking for a payment date for invoice 00165788 $949.78,,,,3,,,,,,INC
TRUE,Sylvia,Fresno,City of Fresno Wastewater,, City of Fresno Wastewater , $ -   , $ -   , $ -   , $ 625.00 , $ -   , $ 625.00 ,Active,Contacted,COLLECTION TEAM,WEEKLY,46107,"call Ramona, said for me to call her tomorrow, leaving for the day.",,,,56,,,,,,INC
TRUE,Sylvia,Fresno,Platinum Dirt Worx(Cash),, Platinum Dirt Worx(Cash) , $ -   , $ -   , $ 561.18 , $ -   , $ -   , $ 561.18 ,Active,Contacted,COLLECTION TEAM,WEEKLY,46114,"Left message for Brittany regarding payment on those Feb invoices is a cash account, also sending her an email ",,,,49,,,,,,INC
TRUE,Sylvia,Fresno,Alliance Construction Solution Inc. ( CAS,, Alliance Construction Solution Inc. ( CAS , $ -   , $ -   , $ -   , $ -   , $ 480.00 , $ 480.00 ,Inactive,Uncollectable,VP/HIGH LEVEL,WEEKLY,46064,called and followed up on sylvias email. no response to email or voicemail,,,,99,,,,,,INC
TRUE,Sylvia,Fresno,"Kroeker, Inc.",," Kroeker, Inc. ", $ -   , $ -   , $ 395.00 , $ -   , $ -   , $ 395.00 ,Active,Contacted,COLLECTION TEAM,WEEKLY,46099,"left message for A/P Fernando or Lyn, make sure that March-7 invoice was received. (fresno accounti)",,,,64,,,,,,INC
,Josie,Bakersfield ,Nicholas Construction,, Nicholas Construction , $ -   , $ -   , $ -   , $ -   , $ 45.75 , $ 45.75 ,Active,Uncollectable,VP/HIGH LEVEL,WEEKLY,46027,Emailed Jordan asking about this account waiting on response ,,,,136,,,,,,INC
,Josie, ,CalTrans Emergency Account,, CalTrans Emergency Account , $ -   , $ -   , $ -   , $ -   , $ -   , $ -   ,Active,Contacted,COLLECTION TEAM,WEEKLY,45832,,,,,331,,,,,,INC
FALSE,Sylvia,,RePipe California,, RePipe California , $ -   , $ -   , $ -   , $ -   , $ -   , $ -   ,Active,Contacted,COLLECTION TEAM,WEEKLY,,,,,,DATE NEEDED,,,,,,INC
,Lui,Fresno / Bakersfield / Visalia /,West Valley Construction,, West Valley Construction , $ -   , $ -   , $ -   , $ -   , $ (84.00), $ (84.00),Active,Contacted,COLLECTION TEAM,WEEKLY,45855,legal action do not contact ,,12/11/24,All these jobs belong to Fresno,308,1/28/2025,"Completed, Pending Payment",,1,62954 Ongoing. ,INC
