,,,,,,,,,,,,
,,,,,,,,,,,,
Assigned,BRANCH ,Customer,Account Status,Collection Status,PHASE,COMMUNICATION SCHEDULE,Note/Contact Date,Collections Team - Notes,Action Item / Follow-up Items,Local Management Note date,Local Management Notes,Days since contact
Sylvia,Fresno,KB HOME SOUTH BAY,Active,Contacted,COLLECTION TEAM,WEEKLY,10/16/2025,"email Nick, Jessica, Matt, regarding payment information on the January-31 invoice, #00096868 for $630.00",,,,216
Josie,Bakersfield ,GRANITE CONSTRUCTION (BAKERSFIELD),Active,Contacted,COLLECTION TEAM,WEEKLY,1/20/2026,per gary. they will be sending joint checks ,,,,120
Josie,Bakersfield /O.C,"MILLER PACIFIC, INC. (CASH)",Active,Contacted,COLLECTION TEAM,WEEKLY,8/14/2025,Called no answer emailed asking for payment information being it is a cash account ,,,,279
Sylvia,,SEFNCO COMMUNICATIONS COMCAST(SACRAMENTO),Active,Uncollectable,COLLECTION TEAM,WEEKLY,10/21/2025,they had issues with pictures & daily. all fixed and will receive payment in 10 days,,,,211
Sylvia,,R.T. NELSON COMPANY,Active,Contacted,COLLECTION TEAM,WEEKLY,1/22/2026,"emailing Sandy, asking if received January invoices, waiting for response",,12/9/24,received an email from Sandy she advised she will be paying all open invoices on 12/27 (visali),118
Lui,Bakersfield / OC,"HERMAN WEISSKER, INC",Active,Contacted,COLLECTION TEAM,WEEKLY,4/8/2026,requested update on payment,,,,42
Josie,Fresno/ Bakersfield ,CALIFORNIA WATER SERVICE,Active,Contacted,COLLECTION TEAM,WEEKLY,11/10/2025,(JS)KIm said that they changed adress (JS)Kim responded she has requested to update a remittance payment today Responded to an email asking for update once updated as taken place ,,4/30/25,,191
Sylvia,Fresno,CENTURY COMMUNITIES,Active,Contacted,COLLECTION TEAM,WEEKLY,5/18/2026,"left message for Matt, see if all invoices received,",,5/29/2025,customer seup in portal system per abraham requested no more calls ,2
Sylvia,,SEFNCO COMMUNICATIONS ATT FRESNO,Active,Contacted,COLLECTION TEAM,WEEKLY,10/21/2025,will receive payment in 10 days,,,,211
Sylvia,Sacramento / Modesto,CONSOLIDATED COMMUNICATIONS ENTERPRISE,Active,Promise to Pay,COLLECTION TEAM,WEEKLY,4/27/2026,"Alexis replied to email, said all March invoices are approve for payment this week, $9,570.00, also asking for invoice copy of the last 2 invoices. done email those to her. (modestro account)",,,,23
Bryce,L.A. / OC,WIRING CONNECTIONS INC. (LOS ANGELES/OC),Active,Contacted,COLLECTION TEAM,WEEKLY,4/14/2026,0 bal,,,,36
Josie,Fresno / Bakersfield ,RLH FIRE PROTECTION,Active,Contacted,COLLECTION TEAM,WEEKLY,11/3/2025,Emailed Rebbeca status report mention discount waiting for her to respons ,,,,198
Lui,Fresno / Visalia,CABLE COM OF CALIFORNIA INC.,Active,Contacted,COLLECTION TEAM,WEEKLY,4/1/2026,hector is working on it ,,6/11/25,hector trent and abrahem in talks ,49
Josie,Bakersfield ,CITY OF BAKERSFIELD (FINANCE DEPT),Active,Contacted,COLLECTION TEAM,WEEKLY,1/7/2026,said that she spoke with Gary and they are going to credit off the remainder of the invoices let her know to get with Logan ,,,,133
Sylvia,Fresno / Visalia,CEN CAL BUILDERS & DEVELOPERS,Active,Contacted,COLLECTION TEAM,WEEKLY,3/16/2026,"left message for A/P see if March-7 invoice received, also sending an email (fresno account)",,,,65
Sylvia,Fresno,VIDEO INSPECTION SPECIALISTS INC,Active,Contacted,COLLECTION TEAM,WEEKLY,10/1/2025,email Accounting and Rick Balance Report,,,,231
Sylvia,Visalia / Fresno,PICKETT & SONS,Active,Contacted,COLLECTION TEAM,WEEKLY,10/24/2025,left message for Chad see if Oct invoice was received ,,,,208
Josie,Bakersfield Fresno ,CENTRAL VALLEY PIPELINE & EXCAVATION,Active,Contacted,COLLECTION TEAM,WEEKLY,11/24/2025,Called emailed waiting on response ,,,,177
Sylvia,Fresno,"EMMETT VALLEY CONSTRUCTION, INC.",Active,Contacted,COLLECTION TEAM,WEEKLY,12/31/2025,"$8,215.52 Ck-21483 paynent out last week, per Jill, confirm with Logan, payment done",,8/15/24,Reached out to Gre,140
Sylvia,Fresno,"R J BERRY, INC.",Active,Contacted,COLLECTION TEAM,WEEKLY,4/7/2026,"Bod answer the phone but not able to heard me, no emaill on file, so calling again",,,,43
Josie,Fresno ,AJ EXCAVATION,Active,Contacted,COLLECTION TEAM,WEEKLY,10/22/2025,called to make sure they had invoice said yes Invoice is for 10/11/25,,,,210
Josie,Lake Isabella ,UNDERGROUND EXPRESS COMPANY-MATT FARNUM,Active,Contacted,COLLECTION TEAM,WEEKLY,,,,,,DATE NEEDED
Lui,Bakesfield,WIRING CONNECTIONS INC.(BAKERSFIELD),Active,Contacted,COLLECTION TEAM,WEEKLY,4/15/2026,0 bal,,,,35
Josie,Fresno,"MILLIE AND SEVERSON, INCORPORATED",Active,Contacted,COLLECTION TEAM,PAID WHEN PAID ,3/25/2026,2nd request on release forms sent email to bk team Lisa will email another  Victoria helped her,,,,56
Sylvia,Fresno,BALLOU CONSTRUCTION,Active,Contacted,COLLECTION TEAM,WEEKLY,9/10/2025,"$464.30 Ck-1572, payment out Monday, per Alana",,6/11/25,***lui per abraham will send check next week***,252
Josie,Bakersfield/ Fresno ,US FOREST SERVICE,Active,Contacted,COLLECTION TEAM,WEEKLY,8/25/2025,"Brennen said that this invoice was paid customer paid in advance, and they should have funds stilling on thier account. gave to Logan said yes she was working on that  
Logan said she applied the money that was on account to ibnvoice 00100105 said she will get with Victoria on the memo part of the credit",,,,268
Elizabeth,Fresno / Bakesfield / Visalia ,LENNAR HOMES,Active,Contacted,COLLECTION TEAM,PORTAL,3/31/2026,sent payment request update tbd,,2-12-25,"We had a delay in regards of getting MTPA contracts signed. I requested payment of $ 89,836.20 on Thursday process takes up to 30 days to get a conditional signed and once i sign it we receive payment in the next two - three days. - Trent (message from Victoria)",50
Josie,Modesto ,"RACE TELECOMMUNICATIONS, LLC",Active,Contacted,COLLECTION TEAM,WEEKLY,5/7/2026,"made two payments  $1,725.00 invoice 00105190 PMT # 61737   $4,714.000 three invoice 187, 189, 219  pmt 61749",,,,13
Sylvia,Sacramento,2M GENERAL ENGINEERING INC.,Active,Contacted,COLLECTION TEAM,WEEKLY,3/11/2026,called & left a voicemail for the ap department,,,,70
Josie,,316 ENGINEERING,Active,Contacted,COLLECTION TEAM,WEEKLY,4/29/2025,NO  open Invoices  JS,,,,386
Sylvia,,"4C GLOBAL, INC. DBA 4CG CONSTRUCTION",Active,Contacted,COLLECTION TEAM,WEEKLY,,,,,,DATE NEEDED
Josie,,"A.L.E. CONSTRUCTION, INC.",Active,Paid,COLLECTION TEAM,WEEKLY,2/26/2026,"Invoice was paid via credit card $2,160.00",,,,83
Josie,,"A.R. Mays Construction, Inc.",Active,Contacted,COLLECTION TEAM,WEEKLY,6/4/2025,"Spoke with Erin said that their net 30 so both invoices will not be paid till May 2nd and May 21 Js 4/29/2025Payment of $13,550.00 w/check-42467 per Jenny",,,,350
Josie,,ACCURATE TRENCHING INC,Active,Contacted,COLLECTION TEAM,WEEKLY,2/12/2026,Judie on her way to drop off check ,,,,97
Josie,,ACTIVATED EVENTS,Active,Contacted,COLLECTION TEAM,WEEKLY,4/29/2025,No Open invoices as of 4/29/25 JS,,,,386
Josie,,ACTIVE BAKERSFIELD ALLIANCE,Active,Contacted,COLLECTION TEAM,WEEKLY,6/20/2025,No Open invoices as of 4/29/25 JS,,,,334
Josie,,ADVANCED CONCRETE,Active,Contacted,COLLECTION TEAM,WEEKLY,6/4/2025,"NO open balance 4/29/25 JS Advanced (sylvia) Lupe replied to email on 9-23; asking for ""Final Release""  so Victoria working on that",,07/29/24,(jordan) I have spoken with sal from advanced and brian from ptm . Hopeing to get paid on this asap . feels positive,350
Sylvia,Fresno,"AERNER PAINTING, LLC",Active,Contacted,COLLECTION TEAM,WEEKLY,2/12/2026,"$4,122.50 with Credit Card today with a 3% discount  $127.50 to be write off (fresno Acct)",,,,97
Sylvia,,AG INDUSTRIAL ENTERPRISE,Active,Contacted,COLLECTION TEAM,WEEKLY,,,,,,DATE NEEDED
Sylvia,,AGEE CONSTRUCTION,Active,Contacted,COLLECTION TEAM,WEEKLY,,,,,,DATE NEEDED
Josie,,ALL AROUND UNDERGROUND CONTRACTORS INC.,Active,Contacted,COLLECTION TEAM,WEEKLY,11/20/2025,called april and left her a voicemail also sent he an email ,,,,181
Sylvia,,ALL STAR PLUMBING,Active,Contacted,COLLECTION TEAM,WEEKLY,9/18/2025,"left message for Cammie see if Sept-9 invoice was received, said Yes,",,,,244
Josie,,"ALLEN GENERAL ENGINEERING, INC.",Active,Contacted,COLLECTION TEAM,WEEKLY,,,,,,DATE NEEDED
Sylvia,,Allison Sierra Inc.,Active,Contacted,COLLECTION TEAM,WEEKLY,,,,,,DATE NEEDED
Josie,,ALLY ENTERPRISES,Active,Contacted,COLLECTION TEAM,WEEKLY,3/11/2026,Called to speak with Arin but spoke with Jenny let her know that I have emailed her said yes but they aare not intrested in the dixcount ,,,,70
Josie,,"ALPHA CONSTRUCTION ELITE, INC.",Active,Contacted,COLLECTION TEAM,WEEKLY,8/7/2025,Rafael emailed a copy of the check he paid to SFN ,,,,286
Sylvia,,ALVITRE CIVIL CONSTRUCTORS INC,Active,Contacted,COLLECTION TEAM,WEEKLY,,,,1/7/25,July invoices have been paid w/ck#11593. spoke w/Victoria and she is going to apply payment. Oct & Nov invoices are on hold. Justin will not approve until he receives some sort of back up also he was not happy with our guys performance. (visalia),DATE NEEDED
Sylvia,,ALW ENTERPRISES INC (CASH),Active,Contacted,COLLECTION TEAM,WEEKLY,,,,,,DATE NEEDED
Josie,,AMERICAN CONSTRUCTION & EXCAVATION,Active,Contacted,COLLECTION TEAM,WEEKLY,8/21/2025,called no answer ,,,,272
Josie,,AMERICAN ENVIRO SERVICES NC,Active,Contacted,COLLECTION TEAM,WEEKLY,10/31/2025,"Customer paid $1,612",,,,201
Sylvia,,AMERICAN HEART ASSOCIATION,Active,Contacted,COLLECTION TEAM,WEEKLY,1/5/2026,"everything paid in full, talk to Logan to clear $13.73",,,,135
Sylvia,,AMERICAN INCORPORATED,Active,Contacted,COLLECTION TEAM,WEEKLY,,,,,,DATE NEEDED
Sylvia,,AMERICAN PAVEMENT SYSTEMS INC,Active,Contacted,COLLECTION TEAM,WEEKLY,,,,,,DATE NEEDED
Sylvia,Fresno,AMERICAN PAVING,Active,Contacted,COLLECTION TEAM,WEEKLY,4/30/2026,"talk to Ana said to call back, tarah is that one in charge, however she out of office today. (fresno account)",,,,20
Josie,,AMERIVET,Active,Contacted,COLLECTION TEAM,WEEKLY,12/29/2025,Called left voice mail for Christian M regarding two invoices due in Oct 00101260 $757.602 00101425 $2776.80,,,,142
Sylvia,,ANDERSON STRIPPING & CONSTRUCTION INC,Active,Contacted,COLLECTION TEAM,WEEKLY,12/29/2025,receptionist said to call again tomoroow after 8am A.P will be available then,,,,142
Sylvia,,ARGUELLO CONCRETE CONSTRUCTION,Active,Contacted,COLLECTION TEAM,WEEKLY,,,,,,DATE NEEDED
Sylvia,,ARIA COMMUNITY HEALTH CENTER,Active,Contacted,COLLECTION TEAM,WEEKLY,,,,,,DATE NEEDED
Josie,,AT&T (BAKERSFIELD LINE CREW),Active,Contacted,COLLECTION TEAM,WEEKLY,6/4/2025,Emailed three open Invoice Total Due $2318.40 Ronda working on them JS,,,,350
Josie,,AT&T (BAKERSFIELD SPLICING CREW),Active,Contacted,COLLECTION TEAM,WEEKLY,6/4/2025,Called no response Emailed regarding 000001206 invoice I emailed last Emailed two Open invoices Total $3865.20 Ronda Working on them  JS,,,,350
Sylvia,,AT&T AIR PRESSURE,Active,Contacted,COLLECTION TEAM,WEEKLY,9/12/2025,"$5,305.50 with Amex credti card today, per Cynthia for all open invoices,",,,,250
Sylvia,Fresno,AT&T CABLE MAINTENANCE (FRESNO),Active,Contacted,COLLECTION TEAM,WEEKLY,3/16/2026,"talk  to Erika see if the March-7 invoice received,",,,,65
Josie,,AT&T Special Services (Bakersfield),Active,Contacted,COLLECTION TEAM,WEEKLY,4/30/2025,NO open Invoice  JS,,,,385
Sylvia,fresno,"B & L CONTRACTORS, INC.",Active,Promise to Pay,COLLECTION TEAM,WEEKLY,4/16/2026,"$5,619.00 with Credit Card today for the remaining balance. account paid in full. per Alex",,,,34
Sylvia,,B.L. SOLUTIONS LLC,Active,Contacted,COLLECTION TEAM,WEEKLY,,,,,,DATE NEEDED
Josie,,B&C DEMOLITION INC,Active,Contacted,COLLECTION TEAM,WEEKLY,11/17/2025,Said that customer paid said that they are going to close Job ,,,,184
Josie,,B&T SERVICE STATION CONTRACTORS,Active,Contacted,COLLECTION TEAM,WEEKLY,5/27/2025,No open Invoices JS,,,,358
Josie,,BADGER,Active,Contacted,COLLECTION TEAM,,2/2/2026,Paid  5507.84,,,,107
Sylvia,,BADGER DAYLIGHTING CORP,Active,Contacted,COLLECTION TEAM,WEEKLY,6/16/2025,(sylvia 6-16-25) contacting Brandy see if received June invoice,,,,338
Josie,,BAIZE ELECTRIC SOLAR TECH,Active,Contacted,COLLECTION TEAM,WEEKLY,2/5/2026,Paid  on 1/20/26,,,,104
Josie,,BAKERSFIELD BLACK AMERICAN HISTORY PARADE,Active,Contacted,COLLECTION TEAM,WEEKLY,6/2/2025,Called Gloria left message regarding past due balance $380,,,,352
Josie,,BAKERSFIELD COLLEGE.,Active,Contacted,COLLECTION TEAM,WEEKLY,6/18/2025,"Joseph responded to my email stating that payment is in the q to be paid I also asked if we could pick up he said that is out of his control , Victoria put a message that payemnt was mailed",,,,336
Josie,,BAKERSFIELD IRON HOGGZ,Active,Contacted,COLLECTION TEAM,WEEKLY,5/27/2025,No open invoices,,,,358
Josie,,BAKERSFIELD PLUMBING,Active,Contacted,COLLECTION TEAM,WEEKLY,5/15/2025,Jason is working on this account with Steven there were invoices that were voided in TCR not in QB  per Victoria,,,,370
Josie,,BAKERSFIELD WELL AND PUMP CO,Active,Contacted,COLLECTION TEAM,WEEKLY,6/16/2025,Spoke with Christi  said check # 60396 went out in today  6/16/25 for $395.00,,,,338
Josie,,"Baymarr Constructors, Inc.",Active,Contacted,COLLECTION TEAM,WEEKLY,6/16/2025,Invoice 00098313 was paid today for $855.84,,,,338
Josie,,"BEAR ELECTRICAL SOLUTIONS, LLC",Active,Contacted,COLLECTION TEAM,WEEKLY,5/27/2025,no open invoices,,,,358
Sylvia,,"BEN'S ASPHALT, LLC",Active,Contacted,COLLECTION TEAM,WEEKLY,3/16/2026,"talk  to Crystal make sure the March invoice was received, said No to please email that to her. done. ",,,,65
Josie,,Big Ben Engineering,Active,Contacted,COLLECTION TEAM,WEEKLY,5/27/2025,No open Invoices JS,,,,358
Josie,,BIG-D CONSTRUCTION CORP.,Active,Contacted,COLLECTION TEAM,WEEKLY,6/18/2025,Emailed Kim asking if she saw 0001736STB enterd in procore said yes I asked if she had a release date for payment said no,,,,336
Sylvia,,BLACKBURN CONSULTING,Active,Contacted,COLLECTION TEAM,WEEKLY,,,,,,DATE NEEDED
Josie,,BLAND COMPANY,Active,Contacted,COLLECTION TEAM,WEEKLY,6/20/2025,NO  Open invoices,,,,334
Josie,,BLUMER CONSTRUCTION,Active,Contacted,COLLECTION TEAM,WEEKLY,6/18/2025,"Hi Josie,
Check number 28776 was issued in the amount of $3,251.38 and paid the following invoices
98497, 98595, 98752, & 98908.
The check was mailed last week Thursday to the address in your signature block.

Followed up with Steve on payment update",,,,336
Josie,,"BMV, INC.",Active,Contacted,COLLECTION TEAM,WEEKLY,6/6/2025,Rex went to BK  and paid with check,,,,348
Josie,,BOUDREAU PIPELINE,Active,Contacted,COLLECTION TEAM,WEEKLY,6/26/2025,No Open Invoices,,,,328
Josie,,BOWMAN ASPHALT / AC MATERIALS,Active,Contacted,COLLECTION TEAM,WEEKLY,8/8/2025,Said that a check went out this morning for two invoices 00001957 00001999 Check # 95921,,,,285
Josie,,Bowman Construction LLC,Active,Contacted,COLLECTION TEAM,WEEKLY,10/14/2025,Said she will call me back and pay with a credit card or  put a  check in the mail ,,,,218
Sylvia,,BRADLEY & SONS,Active,Contacted,COLLECTION TEAM,WEEKLY,10/10/2025,"$432.00 Ck-56076 out last week, for those open invoices,",,,,222
Sylvia,,BRIGHTVIEW LANDSCAPE SERVICES,Active,Contacted,COLLECTION TEAM,WEEKLY,9/25/2025,"Jennifer call asking for information on those paid invoices, done email to her payment receipt",,,,237
Josie,,"BRINER & SON, INC.",Active,Contacted,COLLECTION TEAM,WEEKLY,11/18/2025,customer emailed back wanted to know why job states on going went to Billing and was let know it was automatic Called spoke with Kaylen gave me updated email address for ap going to email invoices ,,,,183
Sylvia,,BROADBAND INTEGRATORS,Active,Contacted,COLLECTION TEAM,WEEKLY,8/12/2025,emailed Ofelia again regarding payment update on the June-7 invoice,,,,281
Josie,,"BROWN'S CONSTRUCTION SERVICE, INC.",Active,Contacted,COLLECTION TEAM,WEEKLY,4/30/2025,No Open Invoice JS,,,,385
Sylvia,,Browns Construction,Active,Contacted,COLLECTION TEAM,WEEKLY,,,,,,DATE NEEDED
Josie,,BRSO LLC DBA ROOSTER'S HONKY TONK,Active,Contacted,COLLECTION TEAM,WEEKLY,4/30/2025,No Open Invoice JS,,,,385
Josie,,BSK,Active,Contacted,COLLECTION TEAM,WEEKLY,11/18/2025,Emailed Erika Back asking if she has heard back from her VP regarding  joint check ,problems with union letters,,,183
Josie,,BURTCH CONSTRUCTION,Active,Contacted,COLLECTION TEAM,WEEKLY,5/15/2026,"Said check is ready $4,440.00 94514 put message in slack  Lui to pick up",,,,5
Josie,,C. A. RASMUSSEN INC.,Active,Contacted,COLLECTION TEAM,WEEKLY,4/30/2025,No open Invoice JS,,,,385
Sylvia,Fresno,CAL GOLD CONSTRUCTION CORPORATION,Active,Contacted,COLLECTION TEAM,WEEKLY,4/22/2026,"$650.00 payment out yesterday, per Sherri Account paid in full. (fresno account)",,,,28
Josie,,CAL VALLEY CONSTRUCTION,Active,Contacted,COLLECTION TEAM,WEEKLY,2/17/2026,"Per Lui , reached out to Hammer regarding this account, also the reason for me not to contact this customer ?waiting on Hammer to reply went to Hammer said he never said that ",,,,#REF!
Josie,,CAL VALLEY CONTRACTORS,Active,Contacted,COLLECTION TEAM,WEEKLY,5/28/2025,Julia mailed ck 14086 JS Status report and invoice show differnt dates let her know we have not recevied yet said to contact if we do not recevie by Friday,,,,357
Sylvia,,CALIFORNIA STRIPING,Active,Contacted,COLLECTION TEAM,WEEKLY,8/19/2025,"$565.00 Ck-9321 out Yesterday, per Mark -left message for A/P regarding payment information on July-12 invoice, also sending an email",,,,274
Lui,,CALIFORNIA TRAFFIC CONTROL,Active,Contacted,COLLECTION TEAM,WEEKLY,4/13/2026,sent open balance report. and requested payment info ,,12/4/24,"05.19.2025- Sent an E-mail to CTC Controller- Kelly- awaiting response- CC'd Lui in the e-mail- ASHLEY- Took payment a week or two ago. Had to revise invoices. Got it all fixed last week. Confirming with them to get 61-90, and some other recent invoices paid. Terms are Due upon receipt, have CC on profile, walked in and wanted rumble strips. Didn't hear from them for a while until truck rental popped up, ran CC and that's the last we have. Running CC about every 30 days",37
Josie,,CALMEX ENGINEERING INC,Active,Contacted,COLLECTION TEAM,WEEKLY,7/8/2025,No open Invoices JS,,,,316
Sylvia,,"CAM BUILDING MAINTENANCE, INC.",Active,Contacted,COLLECTION TEAM,WEEKLY,7/2/2025,"(7-2-25) talk to Joseph said yes, charge credit card on file $2,466.72 May-24 invoice and email receipt.  --(6-26-25) emailing Joseph/Chris, see if we could run credit card on file for May-24 invoice, waiting for reply. ---(sylvia 6-13-25) emailed Joseph Balance Report and May-24 invoice  ---left message for A/P regarding May-24 invoice for $2,466.72 waiting for response (sylvia 6-6-25)",,,,322
Sylvia,Fresno,"CAMPUS POINTE ANNEX HOTEL, LLC",Active,Contacted,COLLECTION TEAM,WEEKLY,4/1/2026,made a payment ,,,,49
Sylvia,,CARDINAL TREE SERVICE,Active,Contacted,COLLECTION TEAM,WEEKLY,,,,,,DATE NEEDED
Sylvia,,CARLOS ANDRES CARRILLO GARCIA,Active,Contacted,COLLECTION TEAM,WEEKLY,10/27/2025,"Dont call customer-Carlos, he already paid cash on the same date to Yarely (said girl with Glasses) it shows paid on TCR but not in QB. Logan notified",,,,205
Lui,,Carlos Andres Carrillo Garcia ( CASH ),Active,Contacted,COLLECTION TEAM,WEEKLY,,,,,,DATE NEEDED
Sylvia,,CDM SMITH INC.,Active,Contacted,COLLECTION TEAM,WEEKLY,,,,,,DATE NEEDED
Josie,,CEN-CAL CONSTRUCTION,Active,Paid,COLLECTION TEAM,WEEKLY,,,,,,DATE NEEDED
Sylvia,,"CENTRAL IRRIGATION, INC.",Active,Contacted,COLLECTION TEAM,WEEKLY,,,,,,DATE NEEDED
Josie,,"CENTURY PAVING, INC",Active,Contacted,COLLECTION TEAM,WEEKLY,12/29/2025,Said they are still waiting on payment ,,,,142
Josie,,"CERES ENTERPRISES, INC.",Active,Contacted,COLLECTION TEAM,WEEKLY,,,,,,DATE NEEDED
Sylvia,,CERVANTES LANDSCAPE SERVICES,Active,Contacted,COLLECTION TEAM,WEEKLY,,,,,,DATE NEEDED
Sylvia,,CITY OF FRESNO WATER DIVISION,Active,Contacted,COLLECTION TEAM,WEEKLY,,,,,,DATE NEEDED
Sylvia,,CITY OF FRESNO/PARKS/SPECIAL EVENTS,Active,Contacted,COLLECTION TEAM,WEEKLY,10/13/2025,"David replied said payment in process.   -email Accounting and David, regarding Sept-20 invoice see if received,",,,,219
Sylvia,,CITY OF KERMAN.,Active,Contacted,COLLECTION TEAM,WEEKLY,10/17/2025,"$810.00 Check mail out today per Denise.  -following up on payment with Denise, regarding the Sept-13 invoice.",,,,215
Josie,,CITY OF TEHACHAPI,Active,Contacted,COLLECTION TEAM,WEEKLY,9/30/2025,Grace said yes the payment will go out on the 7th,,,,232
Sylvia,,CJ TORRES CONSTRUCTION INC,Active,Contacted,,WEEKLY,7/8/2025,not in tcr,,,,316
Sylvia,,CLOVIS MADERA EQUIPMENT,Active,Contacted,COLLECTION TEAM,WEEKLY,7/17/2025,"-Tricia replied $3,200.00 check ready for pick up, Hammer is going. -left message for Patricia regarding payment on those May invocies like promised, also sending her an email , waiting for reply",,,,307
Sylvia,,CLOVIS RODEO ASSOCIATION,Active,Contacted,COLLECTION TEAM,WEEKLY,,,,,,DATE NEEDED
Sylvia,,"CM CONSTRUCTION SERVICES, INC.",Active,Contacted,COLLECTION TEAM,WEEKLY,9/11/2025,"$6,750.00 check ready for pick today, per Ana, Visalia team to pick up Brad",,,,251
Josie,,"COLOMBO CONSTRUCTION COMPANY, INC.",Active,Contacted,COLLECTION TEAM,WEEKLY,,,,,,DATE NEEDED
Sylvia,,COLUMN PI4,Active,Contacted,COLLECTION TEAM,WEEKLY,7/8/2025,not in tcr,,,,316
Josie,,"Comet Electric, Inc.",Active,Contacted,COLLECTION TEAM,WEEKLY,,,,,Bryce emailed Lida on 2/12/25 about remaining $3511 retention,DATE NEEDED
Sylvia,,CONCRETE VALUE CORP,Active,Contacted,COLLECTION TEAM,WEEKLY,9/25/2025,$410.00 with Credit Card today per Ulani,,,,237
Sylvia,,"CONTRA COSTA ELECTRIC, INC.",Active,Contacted,COLLECTION TEAM,WEEKLY,,,,,,DATE NEEDED
Sylvia,,COUNTY LINE RESOURCES,Active,Contacted,COLLECTION TEAM,WEEKLY,,,,,,DATE NEEDED
Josie,,CRIMSON RESOURCE MANAGEMENT CORP.,Active,Contacted,COLLECTION TEAM,WEEKLY,,,,,,DATE NEEDED
Josie,,CROWN CONSTRUCTION ENGINEERING,Active,Contacted,COLLECTION TEAM,WEEKLY,,,,,,DATE NEEDED
Sylvia,,"CVE DEMOLITION, INC.",Active,Contacted,COLLECTION TEAM,WEEKLY,,,,10/29/2024,all invoices for Visalia in current status (visalia),DATE NEEDED
Sylvia,,"D.A. WOOD CONSTRUCTION, INC. (CASH)",Active,Contacted,COLLECTION TEAM,WEEKLY,7/7/2025,"(7-7-25)Talk to Aly, say Yes payment this week or next one for the June-7 invoice.  ***paid $1,092.00 on 6-17-25***  (sylvia 6-18-25) talk to Aly, said payment out already, $1,092.00 but for me to email her new Balance for both TCS  & Inc. April-26 invoice still due for TCS.  ---another email and call to A/P Ali regarding the past due invoice April-19 waitting for reply (sylvia 6-6-25)",,,,317
Sylvia,,D.R. HORTON,Active,Contacted,COLLECTION TEAM,WEEKLY,,,,,,DATE NEEDED
Sylvia,,DALE G MELL & ASSOCIATES,Active,Contacted,COLLECTION TEAM,WEEKLY,,,,,,DATE NEEDED
Sylvia,,"DAVIS ENGINEERING CONSTRUCTION, INC.",Active,Contacted,COLLECTION TEAM,WEEKLY,,,,,,DATE NEEDED
Josie,,DBSI,Active,Contacted,LUI,WEEKLY,8/7/2025,Called no answer looked in QB did not find open invoices need to look in signs . was not in signs ,,,,286
Josie,,DEE JASPER & ASSOCIATES INC.,Active,Contacted,COLLECTION TEAM,WEEKLY,7/8/2025,not in tcr,,,,316
Josie,,DERREL'S MINI STORAGE INC.,Active,Contacted,COLLECTION TEAM,WEEKLY,5/1/2025,April 12th Invoice,,,,384
Sylvia,,"DG CONSTRUCTION, INC.",Active,Contacted,COLLECTION TEAM,WEEKLY,11/26/2025,"following up by email again regarding those past due invoices from July, August and Sept, also called left message, waiting for response.",,,,175
Sylvia,,DO IT RIGHT PLUMBING & DRAIN CLEANING LLC,Active,Contacted,COLLECTION TEAM,WEEKLY,,,,,,DATE NEEDED
Lui,,DOTY BROS. EQUIPMENT CO.,Active,Contacted,COLLECTION TEAM,WEEKLY,11/25/2025,per jordan they called about upcoming payment for the wm lyles side,,02-12-25,"Bryce emailed Brenda with an open balance sheet and asking for payment                                                                                                                                                 05.07.2025- Brenda responded to my E-mail, they will have a check ready for us to pick up on Friday, She will ler me know when it is ready, she did confirm it will be for $23,000. -Ashley-",176
Josie,,DTS TELE COM,Active,Contacted,COLLECTION TEAM,WEEKLY,9/3/2025,"talk to Dan, said those invoices need to bill to:LTEC that Dylan knows about it, so emailing Dylan regarding these invoices.",,,,259
Josie,,"EAGLE LAND DEVELOPMENT, INC.",Active,Contacted,COLLECTION TEAM,WEEKLY,,,,,,DATE NEEDED
Josie,,EAST NILES COMMUNITY SERVICES DISTRICT,Active,Contacted,COLLECTION TEAM,WEEKLY,,,,,,DATE NEEDED
Sylvia,,"EFI ENGINEERING, INC.",Active,Contacted,COLLECTION TEAM,WEEKLY,1/29/2025,"following up with Ronald regarding that payment, to see if he has an estimated date on the payment of $20,598.23 (sg)",,2/10/2025,,476
Josie,,El Camino Asphalt,Active,Contacted,COLLECTION TEAM,WEEKLY,,,,,,DATE NEEDED
Sylvia,Sacramento,ELEVEN WESTERN BUILDERS,Active,Contacted,COLLECTION TEAM,WEEKLY,4/27/2026,"$845.00 payment out Friday for the Feb-13 invoice per Nohemi,",,,,23
Josie,,ELITE CONTRACTORS INC,Active,Contacted,COLLECTION TEAM,WEEKLY,2/19/2025,"left message for Tracy, also sending her an email regarding Dec/Jan invoices  Open Balance, cc:gary/Nic/Seth  (sg)  -another email to customer regarding those invoices following up on payment cc:Bryce/Seth/Nic",,03/04/25,"The job is a duplicat. custommer returned equipment on 12/20/24 a credit for invoice. job# 096425. invoice # 097204, 097079, 096949, 096903, 0096572, 096390, 096247, & 096094. nned to be void and (095980, 095854,09565, & 095491 need credit for $1,069.2) (louie)",455
Josie,,"EMERGENCY SANITATION DEPLOYMENT, LLC DBA",Active,Contacted,COLLECTION TEAM,WEEKLY,,,,,,DATE NEEDED
